tradingsymbol,name,exchange,instrument_token,exchange_token
IVZGOLDINAV,INAV INVESCINDGOLXCHANGER,BSE,50948356,199017
HDFCETFINAV,INAVHDFCMUTUAL-HDFC GOLD E,BSE,50948612,199018
ICICIGDINAV,INAVICICI PRUDENTIAL GOLD ETF,BSE,50948868,199019
MON100INAV,INAVMOTILALOSWALMOSTSHARNASD,BSE,50949124,199020
BSLGOLDINAV,INAVADITYABIRLASUNLIFMUTUAL,BSE,50949380,199021
AXISGOLDINV,INAVAXIS MUTUAL AXIS GOLD E,BSE,50949636,199022
IDBIGDINAV,INAVIDBI MUTUAL - IDBI GOLD E,BSE,50949892,199023
ICICISINAV,INAVICICI PRUDENTIMUTUAL FUND,BSE,50950148,199024
GOLDBSINAV,INAVNIPPON INDI ETFGOLDBEES,BSE,50950404,199025
KOTAKGDINAV,INAVKOTAK MAHINDRA MUTUAL,BSE,50950660,199026
SBIGETSINAV,INAVSBI MUTUAL GOLD EXC,BSE,50950916,199027
QGOLDLFINV,INAVQUANTUM GOLDEXCHANGE T,BSE,50951172,199028
GOLDSHAINV,INAVUTI  GOLD EXC,BSE,50951428,199029
HNGSNGINAV,INAVNIPPONETF HANG SENG BEE,BSE,50951684,199030
SILVERINAV,INAVADITYA BIRSUNLIFEMUTUAL,BSE,50951940,199031
KTKSENSINAV,INAV KOTAK SENSEX ETF,BSE,50952196,199032
SBISENSINAV,INAV- SBI ETF SENS,BSE,50952452,199033
MOM100INAV,INAV - MOTILAL OSWAL MOST S,BSE,50952708,199034
ICICINIINAV,INAV ICICIPRUDENTIAL NIFTY,BSE,50952964,199035
ICICINFINAV,INAV ICICI PRUDENTIALNIFT,BSE,50953220,199036
NIF100BINAV,INAV NIPPON INDIA ETF NIFTY,BSE,50953476,199037
KOTAKNIINAV,INAV  - KOTAK NIFTY ETF,BSE,50953732,199038
CPSEETFINAV,INAV- CPSE ETF,BSE,50953988,199039
SENSEXBINAV,INAV NIPPO INDIA ETF SENSE,BSE,50954244,199040
SETFBSEINAV,INAV - SBI ETF BSE 100,BSE,50954500,199041
UTISENSINAV,INAV UTI- SENSEX ETF,BSE,50954756,199042
UTINIFTINAV,INAV UTI NIFTY ETF,BSE,50955012,199043
LICE50INAV,INAV -LIC MF ETF NIFTY 50,BSE,50955268,199044
LICETFINAV,INAV -LIC MF ETF- SENSEX,BSE,50955524,199045
HDNIFINAV,INAV HDFC NIFTY ETF,BSE,50955780,199046
SXETFINAV,INAV HDFC SENSEX ETF - OPEN,BSE,50956036,199047
LICFNHINAV,INAV -LIC MF ETF NIFTY 100,BSE,50956292,199048
ICICINVINAV,INAV ICICI PRUDENTIAL NV20,BSE,50956548,199049
ICICIMCINAV,INAV ICICI PRUDNTIAL MIDCA,BSE,50956804,199050
BSLSENEINAV,INAV BIRLA SUN LIFE SENSEX,BSE,50957060,199051
IDFSENSINAV,INAV IDFC SENSEX ETF,BSE,50957316,199052
ICICILOINAV,INAV ICICI PRUDENTIL NIFTY,BSE,50957572,199053
UTINEXTINAV,INAV UTI NIFTY NEXT 50 ETF,BSE,50957828,199054
ICICIB2INAV,INAV BHARAT 22 ETF,BSE,50958084,199055
LIQUIDEINAV,,BSE,50958340,199056
ICICI50INAV,INAV ICICI PRUDENTIAL S&P B,BSE,50958596,199057
ICICINXINAV,INAV ICICIPRUDENTIALNIFTY,BSE,50958852,199058
ICICILIINAV,,BSE,50959108,199059
SETFSN5INAV,INAV SBI - ETF - SENSEX NEX,BSE,50959364,199060
